name,emoji,group,subgroup,keywords,aliases
man bouncing ball: medium skin tone,⛹🏽‍♂️,Smileys & People,person-sport,,man bouncing ball medium skin tone
man bouncing ball: medium skin tone,⛹🏽‍♂,Smileys & People,person-sport,,man bouncing ball medium skin tone
man bouncing ball: medium-dark skin tone,⛹🏾‍♂️,Smileys & People,person-sport,,man bouncing ball medium dark skin tone
man bouncing ball: medium-dark skin tone,⛹🏾‍♂,Smileys & People,person-sport,,man bouncing ball medium dark skin tone
man bouncing ball: dark skin tone,⛹🏿‍♂️,Smileys & People,person-sport,,man bouncing ball dark skin tone
man bouncing ball: dark skin tone,⛹🏿‍♂,Smileys & People,person-sport,,man bouncing ball dark skin tone
woman bouncing ball,⛹️‍♀️,Smileys & People,person-sport,"ball, woman, woman bouncing ball","basketball woman, woman bouncing ball"
woman bouncing ball,⛹‍♀️,Smileys & People,person-sport,,woman bouncing ball
woman bouncing ball,⛹️‍♀,Smileys & People,person-sport,,woman bouncing ball
woman bouncing ball,⛹‍♀,Smileys & People,person-sport,,woman bouncing ball
woman bouncing ball: light skin tone,⛹🏻‍♀️,Smileys & People,person-sport,,woman bouncing ball light skin tone
woman bouncing ball: light skin tone,⛹🏻‍♀,Smileys & People,person-sport,,woman bouncing ball light skin tone
woman bouncing ball: medium-light skin tone,⛹🏼‍♀️,Smileys & People,person-sport,,woman bouncing ball medium light skin tone
woman bouncing ball: medium-light skin tone,⛹🏼‍♀,Smileys & People,person-sport,,woman bouncing ball medium light skin tone
woman bouncing ball: medium skin tone,⛹🏽‍♀️,Smileys & People,person-sport,,woman bouncing ball medium skin tone
woman bouncing ball: medium skin tone,⛹🏽‍♀,Smileys & People,person-sport,,woman bouncing ball medium skin tone
woman bouncing ball: medium-dark skin tone,⛹🏾‍♀️,Smileys & People,person-sport,,woman bouncing ball medium dark skin tone
woman bouncing ball: medium-dark skin tone,⛹🏾‍♀,Smileys & People,person-sport,,woman bouncing ball medium dark skin tone
woman bouncing ball: dark skin tone,⛹🏿‍♀️,Smileys & People,person-sport,,woman bouncing ball dark skin tone
woman bouncing ball: dark skin tone,⛹🏿‍♀,Smileys & People,person-sport,,woman bouncing ball dark skin tone
person lifting weights,🏋️,Smileys & People,person-sport,,person lifting weights
person lifting weights,🏋,Smileys & People,person-sport,"lifter, person lifting weights, weight, gym, workout","weight lifting man, person lifting weights"
person lifting weights: light skin tone,🏋🏻,Smileys & People,person-sport,,person lifting weights light skin tone
person lifting weights: medium-light skin tone,🏋🏼,Smileys & People,person-sport,,person lifting weights medium light skin tone
person lifting weights: medium skin tone,🏋🏽,Smileys & People,person-sport,,person lifting weights medium skin tone
person lifting weights: medium-dark skin tone,🏋🏾,Smileys & People,person-sport,,person lifting weights medium dark skin tone
person lifting weights: dark skin tone,🏋🏿,Smileys & People,person-sport,,person lifting weights dark skin tone
man lifting weights,🏋️‍♂️,Smileys & People,person-sport,"man, man lifting weights, weight lifter",man lifting weights
man lifting weights,🏋‍♂️,Smileys & People,person-sport,,man lifting weights
man lifting weights,🏋️‍♂,Smileys & People,person-sport,,man lifting weights
man lifting weights,🏋‍♂,Smileys & People,person-sport,,man lifting weights
man lifting weights: light skin tone,🏋🏻‍♂️,Smileys & People,person-sport,,man lifting weights light skin tone
man lifting weights: light skin tone,🏋🏻‍♂,Smileys & People,person-sport,,man lifting weights light skin tone
man lifting weights: medium-light skin tone,🏋🏼‍♂️,Smileys & People,person-sport,,man lifting weights medium light skin tone
man lifting weights: medium-light skin tone,🏋🏼‍♂,Smileys & People,person-sport,,man lifting weights medium light skin tone
man lifting weights: medium skin tone,🏋🏽‍♂️,Smileys & People,person-sport,,man lifting weights medium skin tone
man lifting weights: medium skin tone,🏋🏽‍♂,Smileys & People,person-sport,,man lifting weights medium skin tone
man lifting weights: medium-dark skin tone,🏋🏾‍♂️,Smileys & People,person-sport,,man lifting weights medium dark skin tone
man lifting weights: medium-dark skin tone,🏋🏾‍♂,Smileys & People,person-sport,,man lifting weights medium dark skin tone
man lifting weights: dark skin tone,🏋🏿‍♂️,Smileys & People,person-sport,,man lifting weights dark skin tone
man lifting weights: dark skin tone,🏋🏿‍♂,Smileys & People,person-sport,,man lifting weights dark skin tone
woman lifting weights,🏋️‍♀️,Smileys & People,person-sport,"weight lifter, woman, woman lifting weights, gym, workout","weight lifting woman, woman lifting weights"
woman lifting weights,🏋‍♀️,Smileys & People,person-sport,,woman lifting weights
woman lifting weights,🏋️‍♀,Smileys & People,person-sport,,woman lifting weights
woman lifting weights,🏋‍♀,Smileys & People,person-sport,,woman lifting weights
woman lifting weights: light skin tone,🏋🏻‍♀️,Smileys & People,person-sport,,woman lifting weights light skin tone
woman lifting weights: light skin tone,🏋🏻‍♀,Smileys & People,person-sport,,woman lifting weights light skin tone
woman lifting weights: medium-light skin tone,🏋🏼‍♀️,Smileys & People,person-sport,,woman lifting weights medium light skin tone
woman lifting weights: medium-light skin tone,🏋🏼‍♀,Smileys & People,person-sport,,woman lifting weights medium light skin tone
woman lifting weights: medium skin tone,🏋🏽‍♀️,Smileys & People,person-sport,,woman lifting weights medium skin tone
woman lifting weights: medium skin tone,🏋🏽‍♀,Smileys & People,person-sport,,woman lifting weights medium skin tone
woman lifting weights: medium-dark skin tone,🏋🏾‍♀️,Smileys & People,person-sport,,woman lifting weights medium dark skin tone
woman lifting weights: medium-dark skin tone,🏋🏾‍♀,Smileys & People,person-sport,,woman lifting weights medium dark skin tone
woman lifting weights: dark skin tone,🏋🏿‍♀️,Smileys & People,person-sport,,woman lifting weights dark skin tone
woman lifting weights: dark skin tone,🏋🏿‍♀,Smileys & People,person-sport,,woman lifting weights dark skin tone
person biking,🚴,Smileys & People,person-sport,"bicycle, biking, cyclist, person biking","biking man, bicyclist, person biking"
person biking: light skin tone,🚴🏻,Smileys & People,person-sport,,person biking light skin tone
person biking: medium-light skin tone,🚴🏼,Smileys & People,person-sport,,person biking medium light skin tone
person biking: medium skin tone,🚴🏽,Smileys & People,person-sport,,person biking medium skin tone
person biking: medium-dark skin tone,🚴🏾,Smileys & People,person-sport,,person biking medium dark skin tone
person biking: dark skin tone,🚴🏿,Smileys & People,person-sport,,person biking dark skin tone
man biking,🚴‍♂️,Smileys & People,person-sport,"bicycle, biking, cyclist, man",man biking
man biking,🚴‍♂,Smileys & People,person-sport,,man biking
man biking: light skin tone,🚴🏻‍♂️,Smileys & People,person-sport,,man biking light skin tone
man biking: light skin tone,🚴🏻‍♂,Smileys & People,person-sport,,man biking light skin tone
man biking: medium-light skin tone,🚴🏼‍♂️,Smileys & People,person-sport,,man biking medium light skin tone
man biking: medium-light skin tone,🚴🏼‍♂,Smileys & People,person-sport,,man biking medium light skin tone
man biking: medium skin tone,🚴🏽‍♂️,Smileys & People,person-sport,,man biking medium skin tone
man biking: medium skin tone,🚴🏽‍♂,Smileys & People,person-sport,,man biking medium skin tone
man biking: medium-dark skin tone,🚴🏾‍♂️,Smileys & People,person-sport,,man biking medium dark skin tone
man biking: medium-dark skin tone,🚴🏾‍♂,Smileys & People,person-sport,,man biking medium dark skin tone
man biking: dark skin tone,🚴🏿‍♂️,Smileys & People,person-sport,,man biking dark skin tone
man biking: dark skin tone,🚴🏿‍♂,Smileys & People,person-sport,,man biking dark skin tone
woman biking,🚴‍♀️,Smileys & People,person-sport,"bicycle, biking, cyclist, woman",woman biking
woman biking,🚴‍♀,Smileys & People,person-sport,,"biking woman, woman biking"
woman biking: light skin tone,🚴🏻‍♀️,Smileys & People,person-sport,,woman biking light skin tone
woman biking: light skin tone,🚴🏻‍♀,Smileys & People,person-sport,,woman biking light skin tone
woman biking: medium-light skin tone,🚴🏼‍♀️,Smileys & People,person-sport,,woman biking medium light skin tone
woman biking: medium-light skin tone,🚴🏼‍♀,Smileys & People,person-sport,,woman biking medium light skin tone
woman biking: medium skin tone,🚴🏽‍♀️,Smileys & People,person-sport,,woman biking medium skin tone
woman biking: medium skin tone,🚴🏽‍♀,Smileys & People,person-sport,,woman biking medium skin tone
woman biking: medium-dark skin tone,🚴🏾‍♀️,Smileys & People,person-sport,,woman biking medium dark skin tone
woman biking: medium-dark skin tone,🚴🏾‍♀,Smileys & People,person-sport,,woman biking medium dark skin tone
woman biking: dark skin tone,🚴🏿‍♀️,Smileys & People,person-sport,,woman biking dark skin tone
woman biking: dark skin tone,🚴🏿‍♀,Smileys & People,person-sport,,woman biking dark skin tone
person mountain biking,🚵,Smileys & People,person-sport,"bicycle, bicyclist, bike, cyclist, mountain, person mountain biking","mountain biking man, mountain bicyclist, person mountain biking"
person mountain biking: light skin tone,🚵🏻,Smileys & People,person-sport,,person mountain biking light skin tone
person mountain biking: medium-light skin tone,🚵🏼,Smileys & People,person-sport,,person mountain biking medium light skin tone
person mountain biking: medium skin tone,🚵🏽,Smileys & People,person-sport,,person mountain biking medium skin tone
person mountain biking: medium-dark skin tone,🚵🏾,Smileys & People,person-sport,,person mountain biking medium dark skin tone
person mountain biking: dark skin tone,🚵🏿,Smileys & People,person-sport,,person mountain biking dark skin tone
man mountain biking,🚵‍♂️,Smileys & People,person-sport,"bicycle, bike, cyclist, man, man mountain biking, mountain",man mountain biking
man mountain biking,🚵‍♂,Smileys & People,person-sport,,man mountain biking
man mountain biking: light skin tone,🚵🏻‍♂️,Smileys & People,person-sport,,man mountain biking light skin tone
man mountain biking: light skin tone,🚵🏻‍♂,Smileys & People,person-sport,,man mountain biking light skin tone
man mountain biking: medium-light skin tone,🚵🏼‍♂️,Smileys & People,person-sport,,man mountain biking medium light skin tone
man mountain biking: medium-light skin tone,🚵🏼‍♂,Smileys & People,person-sport,,man mountain biking medium light skin tone
man mountain biking: medium skin tone,🚵🏽‍♂️,Smileys & People,person-sport,,man mountain biking medium skin tone
man mountain biking: medium skin tone,🚵🏽‍♂,Smileys & People,person-sport,,man mountain biking medium skin tone
man mountain biking: medium-dark skin tone,🚵🏾‍♂️,Smileys & People,person-sport,,man mountain biking medium dark skin tone
man mountain biking: medium-dark skin tone,🚵🏾‍♂,Smileys & People,person-sport,,man mountain biking medium dark skin tone
man mountain biking: dark skin tone,🚵🏿‍♂️,Smileys & People,person-sport,,man mountain biking dark skin tone
man mountain biking: dark skin tone,🚵🏿‍♂,Smileys & People,person-sport,,man mountain biking dark skin tone
woman mountain biking,🚵‍♀️,Smileys & People,person-sport,"bicycle, bike, biking, cyclist, mountain, woman",woman mountain biking
woman mountain biking,🚵‍♀,Smileys & People,person-sport,,"mountain biking woman, woman mountain biking"
woman mountain biking: light skin tone,🚵🏻‍♀️,Smileys & People,person-sport,,woman mountain biking light skin tone
woman mountain biking: light skin tone,🚵🏻‍♀,Smileys & People,person-sport,,woman mountain biking light skin tone
woman mountain biking: medium-light skin tone,🚵🏼‍♀️,Smileys & People,person-sport,,woman mountain biking medium light skin tone
woman mountain biking: medium-light skin tone,🚵🏼‍♀,Smileys & People,person-sport,,woman mountain biking medium light skin tone
woman mountain biking: medium skin tone,🚵🏽‍♀️,Smileys & People,person-sport,,woman mountain biking medium skin tone
woman mountain biking: medium skin tone,🚵🏽‍♀,Smileys & People,person-sport,,woman mountain biking medium skin tone
woman mountain biking: medium-dark skin tone,🚵🏾‍♀️,Smileys & People,person-sport,,woman mountain biking medium dark skin tone
woman mountain biking: medium-dark skin tone,🚵🏾‍♀,Smileys & People,person-sport,,woman mountain biking medium dark skin tone
woman mountain biking: dark skin tone,🚵🏿‍♀️,Smileys & People,person-sport,,woman mountain biking dark skin tone
woman mountain biking: dark skin tone,🚵🏿‍♀,Smileys & People,person-sport,,woman mountain biking dark skin tone
racing car,🏎️,Smileys & People,person-sport,,
racing car,🏎,Smileys & People,person-sport,"car, racing",racing car
motorcycle,🏍️,Smileys & People,person-sport,,
motorcycle,🏍,Smileys & People,person-sport,"motorcycle, racing",motorcycle
person cartwheeling,🤸,Smileys & People,person-sport,"cartwheel, gymnastics, person cartwheeling",person cartwheeling
person cartwheeling: light skin tone,🤸🏻,Smileys & People,person-sport,,person cartwheeling light skin tone
person cartwheeling: medium-light skin tone,🤸🏼,Smileys & People,person-sport,,person cartwheeling medium light skin tone
person cartwheeling: medium skin tone,🤸🏽,Smileys & People,person-sport,,person cartwheeling medium skin tone
person cartwheeling: medium-dark skin tone,🤸🏾,Smileys & People,person-sport,,person cartwheeling medium dark skin tone
person cartwheeling: dark skin tone,🤸🏿,Smileys & People,person-sport,,person cartwheeling dark skin tone
man cartwheeling,🤸‍♂️,Smileys & People,person-sport,"cartwheel, gymnastics, man, man cartwheeling",
man cartwheeling,🤸‍♂,Smileys & People,person-sport,,man cartwheeling
man cartwheeling: light skin tone,🤸🏻‍♂️,Smileys & People,person-sport,,man cartwheeling light skin tone
man cartwheeling: light skin tone,🤸🏻‍♂,Smileys & People,person-sport,,man cartwheeling light skin tone
man cartwheeling: medium-light skin tone,🤸🏼‍♂️,Smileys & People,person-sport,,man cartwheeling medium light skin tone
man cartwheeling: medium-light skin tone,🤸🏼‍♂,Smileys & People,person-sport,,man cartwheeling medium light skin tone
man cartwheeling: medium skin tone,🤸🏽‍♂️,Smileys & People,person-sport,,man cartwheeling medium skin tone
man cartwheeling: medium skin tone,🤸🏽‍♂,Smileys & People,person-sport,,man cartwheeling medium skin tone
man cartwheeling: medium-dark skin tone,🤸🏾‍♂️,Smileys & People,person-sport,,man cartwheeling medium dark skin tone
man cartwheeling: medium-dark skin tone,🤸🏾‍♂,Smileys & People,person-sport,,man cartwheeling medium dark skin tone
man cartwheeling: dark skin tone,🤸🏿‍♂️,Smileys & People,person-sport,,man cartwheeling dark skin tone
man cartwheeling: dark skin tone,🤸🏿‍♂,Smileys & People,person-sport,,man cartwheeling dark skin tone
woman cartwheeling,🤸‍♀️,Smileys & People,person-sport,"cartwheel, gymnastics, woman, woman cartwheeling",
woman cartwheeling,🤸‍♀,Smileys & People,person-sport,,woman cartwheeling
woman cartwheeling: light skin tone,🤸🏻‍♀️,Smileys & People,person-sport,,woman cartwheeling light skin tone
woman cartwheeling: light skin tone,🤸🏻‍♀,Smileys & People,person-sport,,woman cartwheeling light skin tone
woman cartwheeling: medium-light skin tone,🤸🏼‍♀️,Smileys & People,person-sport,,woman cartwheeling medium light skin tone
woman cartwheeling: medium-light skin tone,🤸🏼‍♀,Smileys & People,person-sport,,woman cartwheeling medium light skin tone
woman cartwheeling: medium skin tone,🤸🏽‍♀️,Smileys & People,person-sport,,woman cartwheeling medium skin tone
woman cartwheeling: medium skin tone,🤸🏽‍♀,Smileys & People,person-sport,,woman cartwheeling medium skin tone
woman cartwheeling: medium-dark skin tone,🤸🏾‍♀️,Smileys & People,person-sport,,woman cartwheeling medium dark skin tone
woman cartwheeling: medium-dark skin tone,🤸🏾‍♀,Smileys & People,person-sport,,woman cartwheeling medium dark skin tone
woman cartwheeling: dark skin tone,🤸🏿‍♀️,Smileys & People,person-sport,,woman cartwheeling dark skin tone
woman cartwheeling: dark skin tone,🤸🏿‍♀,Smileys & People,person-sport,,woman cartwheeling dark skin tone
people wrestling,🤼,Smileys & People,person-sport,"people wrestling, wrestle, wrestler",people wrestling
men wrestling,🤼‍♂️,Smileys & People,person-sport,"men, men wrestling, wrestle",
men wrestling,🤼‍♂,Smileys & People,person-sport,,men wrestling
women wrestling,🤼‍♀️,Smileys & People,person-sport,"women, women wrestling, wrestle",
women wrestling,🤼‍♀,Smileys & People,person-sport,,women wrestling
person playing water polo,🤽,Smileys & People,person-sport,"person playing water polo, polo, water",person playing water polo
person playing water polo: light skin tone,🤽🏻,Smileys & People,person-sport,,person playing water polo light skin tone
person playing water polo: medium-light skin tone,🤽🏼,Smileys & People,person-sport,,person playing water polo medium light skin tone
person playing water polo: medium skin tone,🤽🏽,Smileys & People,person-sport,,person playing water polo medium skin tone
person playing water polo: medium-dark skin tone,🤽🏾,Smileys & People,person-sport,,person playing water polo medium dark skin tone
person playing water polo: dark skin tone,🤽🏿,Smileys & People,person-sport,,person playing water polo dark skin tone
man playing water polo,🤽‍♂️,Smileys & People,person-sport,"man, man playing water polo, water polo",
man playing water polo,🤽‍♂,Smileys & People,person-sport,,man playing water polo
man playing water polo: light skin tone,🤽🏻‍♂️,Smileys & People,person-sport,,man playing water polo light skin tone
man playing water polo: light skin tone,🤽🏻‍♂,Smileys & People,person-sport,,man playing water polo light skin tone
man playing water polo: medium-light skin tone,🤽🏼‍♂️,Smileys & People,person-sport,,man playing water polo medium light skin tone
man playing water polo: medium-light skin tone,🤽🏼‍♂,Smileys & People,person-sport,,man playing water polo medium light skin tone
man playing water polo: medium skin tone,🤽🏽‍♂️,Smileys & People,person-sport,,man playing water polo medium skin tone
man playing water polo: medium skin tone,🤽🏽‍♂,Smileys & People,person-sport,,man playing water polo medium skin tone
man playing water polo: medium-dark skin tone,🤽🏾‍♂️,Smileys & People,person-sport,,man playing water polo medium dark skin tone
man playing water polo: medium-dark skin tone,🤽🏾‍♂,Smileys & People,person-sport,,man playing water polo medium dark skin tone
man playing water polo: dark skin tone,🤽🏿‍♂️,Smileys & People,person-sport,,man playing water polo dark skin tone
man playing water polo: dark skin tone,🤽🏿‍♂,Smileys & People,person-sport,,man playing water polo dark skin tone
woman playing water polo,🤽‍♀️,Smileys & People,person-sport,"water polo, woman, woman playing water polo",
woman playing water polo,🤽‍♀,Smileys & People,person-sport,,woman playing water polo
woman playing water polo: light skin tone,🤽🏻‍♀️,Smileys & People,person-sport,,woman playing water polo light skin tone
woman playing water polo: light skin tone,🤽🏻‍♀,Smileys & People,person-sport,,woman playing water polo light skin tone
woman playing water polo: medium-light skin tone,🤽🏼‍♀️,Smileys & People,person-sport,,woman playing water polo medium light skin tone
woman playing water polo: medium-light skin tone,🤽🏼‍♀,Smileys & People,person-sport,,woman playing water polo medium light skin tone
woman playing water polo: medium skin tone,🤽🏽‍♀️,Smileys & People,person-sport,,woman playing water polo medium skin tone
woman playing water polo: medium skin tone,🤽🏽‍♀,Smileys & People,person-sport,,woman playing water polo medium skin tone
woman playing water polo: medium-dark skin tone,🤽🏾‍♀️,Smileys & People,person-sport,,woman playing water polo medium dark skin tone
woman playing water polo: medium-dark skin tone,🤽🏾‍♀,Smileys & People,person-sport,,woman playing water polo medium dark skin tone
woman playing water polo: dark skin tone,🤽🏿‍♀️,Smileys & People,person-sport,,woman playing water polo dark skin tone
woman playing water polo: dark skin tone,🤽🏿‍♀,Smileys & People,person-sport,,woman playing water polo dark skin tone
person playing handball,🤾,Smileys & People,person-sport,"ball, handball, person playing handball",person playing handball
person playing handball: light skin tone,🤾🏻,Smileys & People,person-sport,,person playing handball light skin tone
person playing handball: medium-light skin tone,🤾🏼,Smileys & People,person-sport,,person playing handball medium light skin tone
person playing handball: medium skin tone,🤾🏽,Smileys & People,person-sport,,person playing handball medium skin tone
person playing handball: medium-dark skin tone,🤾🏾,Smileys & People,person-sport,,person playing handball medium dark skin tone
person playing handball: dark skin tone,🤾🏿,Smileys & People,person-sport,,person playing handball dark skin tone
man playing handball,🤾‍♂️,Smileys & People,person-sport,"handball, man, man playing handball",
man playing handball,🤾‍♂,Smileys & People,person-sport,,man playing handball
man playing handball: light skin tone,🤾🏻‍♂️,Smileys & People,person-sport,,man playing handball light skin tone
man playing handball: light skin tone,🤾🏻‍♂,Smileys & People,person-sport,,man playing handball light skin tone
man playing handball: medium-light skin tone,🤾🏼‍♂️,Smileys & People,person-sport,,man playing handball medium light skin tone
man playing handball: medium-light skin tone,🤾🏼‍♂,Smileys & People,person-sport,,man playing handball medium light skin tone
man playing handball: medium skin tone,🤾🏽‍♂️,Smileys & People,person-sport,,man playing handball medium skin tone
man playing handball: medium skin tone,🤾🏽‍♂,Smileys & People,person-sport,,man playing handball medium skin tone
man playing handball: medium-dark skin tone,🤾🏾‍♂️,Smileys & People,person-sport,,man playing handball medium dark skin tone
man playing handball: medium-dark skin tone,🤾🏾‍♂,Smileys & People,person-sport,,man playing handball medium dark skin tone
man playing handball: dark skin tone,🤾🏿‍♂️,Smileys & People,person-sport,,man playing handball dark skin tone
man playing handball: dark skin tone,🤾🏿‍♂,Smileys & People,person-sport,,man playing handball dark skin tone
woman playing handball,🤾‍♀️,Smileys & People,person-sport,"handball, woman, woman playing handball",
woman playing handball,🤾‍♀,Smileys & People,person-sport,,woman playing handball
woman playing handball: light skin tone,🤾🏻‍♀️,Smileys & People,person-sport,,woman playing handball light skin tone
woman playing handball: light skin tone,🤾🏻‍♀,Smileys & People,person-sport,,woman playing handball light skin tone
woman playing handball: medium-light skin tone,🤾🏼‍♀️,Smileys & People,person-sport,,woman playing handball medium light skin tone
woman playing handball: medium-light skin tone,🤾🏼‍♀,Smileys & People,person-sport,,woman playing handball medium light skin tone
woman playing handball: medium skin tone,🤾🏽‍♀️,Smileys & People,person-sport,,woman playing handball medium skin tone
woman playing handball: medium skin tone,🤾🏽‍♀,Smileys & People,person-sport,,woman playing handball medium skin tone
woman playing handball: medium-dark skin tone,🤾🏾‍♀️,Smileys & People,person-sport,,woman playing handball medium dark skin tone
woman playing handball: medium-dark skin tone,🤾🏾‍♀,Smileys & People,person-sport,,woman playing handball medium dark skin tone
woman playing handball: dark skin tone,🤾🏿‍♀️,Smileys & People,person-sport,,woman playing handball dark skin tone
woman playing handball: dark skin tone,🤾🏿‍♀,Smileys & People,person-sport,,woman playing handball dark skin tone
person juggling,🤹,Smileys & People,person-sport,"balance, juggle, multitask, person juggling, skill",person juggling
person juggling: light skin tone,🤹🏻,Smileys & People,person-sport,,person juggling light skin tone
person juggling: medium-light skin tone,🤹🏼,Smileys & People,person-sport,,person juggling medium light skin tone
person juggling: medium skin tone,🤹🏽,Smileys & People,person-sport,,person juggling medium skin tone
person juggling: medium-dark skin tone,🤹🏾,Smileys & People,person-sport,,person juggling medium dark skin tone
person juggling: dark skin tone,🤹🏿,Smileys & People,person-sport,,person juggling dark skin tone
man juggling,🤹‍♂️,Smileys & People,person-sport,"juggling, man, multitask",
man juggling,🤹‍♂,Smileys & People,person-sport,,man juggling
man juggling: light skin tone,🤹🏻‍♂️,Smileys & People,person-sport,,man juggling light skin tone
man juggling: light skin tone,🤹🏻‍♂,Smileys & People,person-sport,,man juggling light skin tone
man juggling: medium-light skin tone,🤹🏼‍♂️,Smileys & People,person-sport,,man juggling medium light skin tone
man juggling: medium-light skin tone,🤹🏼‍♂,Smileys & People,person-sport,,man juggling medium light skin tone
man juggling: medium skin tone,🤹🏽‍♂️,Smileys & People,person-sport,,man juggling medium skin tone
man juggling: medium skin tone,🤹🏽‍♂,Smileys & People,person-sport,,man juggling medium skin tone
man juggling: medium-dark skin tone,🤹🏾‍♂️,Smileys & People,person-sport,,man juggling medium dark skin tone
man juggling: medium-dark skin tone,🤹🏾‍♂,Smileys & People,person-sport,,man juggling medium dark skin tone
man juggling: dark skin tone,🤹🏿‍♂️,Smileys & People,person-sport,,man juggling dark skin tone
man juggling: dark skin tone,🤹🏿‍♂,Smileys & People,person-sport,,man juggling dark skin tone
woman juggling,🤹‍♀️,Smileys & People,person-sport,"juggling, multitask, woman",
woman juggling,🤹‍♀,Smileys & People,person-sport,,woman juggling
woman juggling: light skin tone,🤹🏻‍♀️,Smileys & People,person-sport,,woman juggling light skin tone
woman juggling: light skin tone,🤹🏻‍♀,Smileys & People,person-sport,,woman juggling light skin tone
woman juggling: medium-light skin tone,🤹🏼‍♀️,Smileys & People,person-sport,,woman juggling medium light skin tone
woman juggling: medium-light skin tone,🤹🏼‍♀,Smileys & People,person-sport,,woman juggling medium light skin tone
woman juggling: medium skin tone,🤹🏽‍♀️,Smileys & People,person-sport,,woman juggling medium skin tone
woman juggling: medium skin tone,🤹🏽‍♀,Smileys & People,person-sport,,woman juggling medium skin tone
woman juggling: medium-dark skin tone,🤹🏾‍♀️,Smileys & People,person-sport,,woman juggling medium dark skin tone
woman juggling: medium-dark skin tone,🤹🏾‍♀,Smileys & People,person-sport,,woman juggling medium dark skin tone
woman juggling: dark skin tone,🤹🏿‍♀️,Smileys & People,person-sport,,woman juggling dark skin tone
woman juggling: dark skin tone,🤹🏿‍♀,Smileys & People,person-sport,,woman juggling dark skin tone
man and woman holding hands,👫,Smileys & People,family,"couple, hand, hold, man, man and woman holding hands, woman, date","couple, man and woman holding hands"
two men holding hands,👬,Smileys & People,family,"couple, Gemini, hand, hold, man, twins, two men holding hands, zodiac, couple, date",two men holding hands
two women holding hands,👭,Smileys & People,family,"couple, hand, hold, two women holding hands, woman, couple, date",two women holding hands
kiss,💏,Smileys & People,family,"couple, kiss",couplekiss man woman
"kiss: woman, man",👩‍❤️‍💋‍👨,Smileys & People,family,"couple, kiss, man, woman",kiss woman man
"kiss: woman, man",👩‍❤‍💋‍👨,Smileys & People,family,,kiss woman man
"kiss: man, man",👨‍❤️‍💋‍👨,Smileys & People,family,"couple, kiss, man","couplekiss man man, kiss man man"
"kiss: man, man",👨‍❤‍💋‍👨,Smileys & People,family,,kiss man man
"kiss: woman, woman",👩‍❤️‍💋‍👩,Smileys & People,family,"couple, kiss, woman","couplekiss woman woman, kiss woman woman"
"kiss: woman, woman",👩‍❤‍💋‍👩,Smileys & People,family,,kiss woman woman
couple with heart,💑,Smileys & People,family,"couple, couple with heart, love","couple with heart woman man, couple with heart"
"couple with heart: woman, man",👩‍❤️‍👨,Smileys & People,family,"couple, couple with heart, love, man, woman",
"couple with heart: woman, man",👩‍❤‍👨,Smileys & People,family,,
"couple with heart: man, man",👨‍❤️‍👨,Smileys & People,family,"couple, couple with heart, love, man",couple with heart man man
"couple with heart: man, man",👨‍❤‍👨,Smileys & People,family,,
"couple with heart: woman, woman",👩‍❤️‍👩,Smileys & People,family,"couple, couple with heart, love, woman",couple with heart woman woman
"couple with heart: woman, woman",👩‍❤‍👩,Smileys & People,family,,
family,👪,Smileys & People,family,"family, home, parents, child","family man woman boy, family"
"family: man, woman, boy",👨‍👩‍👦,Smileys & People,family,"boy, family, man, woman",
"family: man, woman, girl",👨‍👩‍👧,Smileys & People,family,"family, girl, man, woman",family man woman girl
"family: man, woman, girl, boy",👨‍👩‍👧‍👦,Smileys & People,family,"boy, family, girl, man, woman",family man woman girl boy
"family: man, woman, boy, boy",👨‍👩‍👦‍👦,Smileys & People,family,"boy, family, man, woman",family man woman boy boy
"family: man, woman, girl, girl",👨‍👩‍👧‍👧,Smileys & People,family,"family, girl, man, woman",family man woman girl girl
"family: man, man, boy",👨‍👨‍👦,Smileys & People,family,"boy, family, man",family man man boy
"family: man, man, girl",👨‍👨‍👧,Smileys & People,family,"family, girl, man",family man man girl
"family: man, man, girl, boy",👨‍👨‍👧‍👦,Smileys & People,family,"boy, family, girl, man",family man man girl boy
"family: man, man, boy, boy",👨‍👨‍👦‍👦,Smileys & People,family,"boy, family, man",family man man boy boy
"family: man, man, girl, girl",👨‍👨‍👧‍👧,Smileys & People,family,"family, girl, man",family man man girl girl
"family: woman, woman, boy",👩‍👩‍👦,Smileys & People,family,"boy, family, woman",family woman woman boy
"family: woman, woman, girl",👩‍👩‍👧,Smileys & People,family,"family, girl, woman",family woman woman girl
"family: woman, woman, girl, boy",👩‍👩‍👧‍👦,Smileys & People,family,"boy, family, girl, woman",family woman woman girl boy
"family: woman, woman, boy, boy",👩‍👩‍👦‍👦,Smileys & People,family,"boy, family, woman",family woman woman boy boy
"family: woman, woman, girl, girl",👩‍👩‍👧‍👧,Smileys & People,family,"family, girl, woman",family woman woman girl girl
"family: man, boy",👨‍👦,Smileys & People,family,"boy, family, man",family man boy
"family: man, boy, boy",👨‍👦‍👦,Smileys & People,family,"boy, family, man",family man boy boy
"family: man, girl",👨‍👧,Smileys & People,family,"family, girl, man",family man girl
"family: man, girl, boy",👨‍👧‍👦,Smileys & People,family,"boy, family, girl, man",family man girl boy
"family: man, girl, girl",👨‍👧‍👧,Smileys & People,family,"family, girl, man",family man girl girl
